data_ym,start,amount
105/10/03,18.2,550
105/10/04,21.55,"8,468"
105/10/05,20.55,"1,331"
105/10/06,20.8,"2,517"
105/10/07,22.4,"1,945"
105/10/11,22.5,"1,578"
105/10/12,22.05,"3,967"
105/10/13,24.1,"2,979"
105/10/14,23.45,"2,225"
105/10/17,24.2,"1,502"
105/10/18,24.5,"3,108"
105/10/19,25.45,"2,111"
105/10/20,25.15,842
105/10/21,25.3,"2,006"
105/10/24,26.1,"1,215"
105/10/25,26.8,"3,285"
105/10/26,29.55,"3,762"
105/10/27,31.4,"6,136"
105/10/28,29.5,"6,710"
105/10/31,29.15,"1,966"
105/11/01,29.95,"1,120"
105/11/02,29.2,"1,121"
105/11/03,28.9,"1,906"
105/11/04,29.55,935
105/11/07,29,840
105/11/08,28.8,"4,784"
105/11/09,31.5,"4,812"
105/11/10,31.8,"5,900"
105/11/11,34,"1,773"
105/11/14,34.15,"4,821"
105/11/15,38.4,"8,752"
105/11/16,39.45,"8,121"
105/11/17,41,"7,003"
105/11/18,40.5,"1,772"
105/11/21,50.2,"4,075"
105/11/22,48.8,"1,998"
105/11/23,45,904
105/11/24,46.35,"1,714"
105/11/25,42.9,"3,747"
105/11/28,37.3,"2,919"
105/11/29,39.8,"1,848"
105/11/30,41.95,"1,201"
105/12/01,40.1,"1,599"
105/12/02,44,"5,000"
105/12/05,41.05,"2,316"
105/12/06,42.7,"1,966"
105/12/07,42.5,"2,079"
105/12/08,46,"3,009"
105/12/09,44.1,"2,253"
105/12/12,43.6,"1,457"
105/12/13,41.55,"1,843"
105/12/14,40.7,"2,134"
105/12/15,42.6,"1,991"
105/12/16,41.55,915
105/12/19,40.4,"2,024"
105/12/20,39,"5,394"
105/12/21,35.5,"5,152"
105/12/22,29.9,"10,477"
105/12/23,33,"4,728"
105/12/26,31.5,"2,445"
105/12/27,29.25,"2,980"
105/12/28,30,"2,043"
105/12/29,30.15,"1,239"
105/12/30,30.55,"1,411"
106/01/03,31.45,"1,163"
106/01/04,31.8,695
106/01/05,31.25,722
106/01/06,30.4,813
106/01/09,31.45,872
106/01/10,30.4,602
106/01/11,30.05,370
106/01/12,30,367
106/01/13,29.8,"1,470"
106/01/16,28.1,"3,539"
106/01/17,24,"3,586"
106/01/18,21.1,"7,882"
106/01/19,21.5,"3,650"
106/01/20,21.7,"2,136"
